weight,cheese_year,canton,cheese_type
796.560443700367,2019,Neuchatel,Emmental
494.9905957768471,2023,Zurich,Emmental
872.7381279202442,2020,Valais,Gruyere
727.6312261534275,2023,Neuchatel,Emmental
184.75961309888459,2022,Neuchatel,Emmental
978.0601164730804,2020,Zurich,Gruyere
785.0257317913176,2021,Fribourg,Gruyere
807.4578747492584,2019,Valais,Gruyere
215.30226940799128,2023,Fribourg,Emmental
505.34734410601044,2020,Zurich,Vacherin
433.7182218093231,2021,Valais,Vacherin
934.0884899637416,2019,Neuchatel,Vacherin
679.478608072598,2021,Valais,Vacherin
840.485451943747,2021,Zurich,Vacherin
499.07277894459804,2020,Zurich,Gruyere
304.5148496062992,2024,Valais,Vacherin
599.1263083142513,2020,Fribourg,Gruyere
157.4355304937578,2020,Zurich,Emmental
844.8680547933238,2022,Zurich,Gruyere
668.4979592098583,2020,Zurich,Gruyere
782.2789660768365,2021,Valais,Vacherin
419.07337131688155,2023,Neuchatel,Vacherin
973.628221955413,2019,Neuchatel,Vacherin
903.8090091899779,2022,Zurich,Emmental
800.5451473663857,2019,Zurich,Emmental
275.1748370667708,2019,Valais,Vacherin
520.0489033543308,2019,Neuchatel,Emmental
139.4233892085059,2019,Valais,Vacherin
238.86054286079303,2021,Valais,Gruyere
714.7440579182091,2024,Zurich,Gruyere
770.2859403170354,2024,Valais,Gruyere
970.758759190789,2019,Valais,Gruyere
393.24282232433677,2024,Valais,Emmental
433.413735431382,2022,Zurich,Vacherin
522.6002301482272,2022,Zurich,Vacherin
270.5242231758571,2023,Valais,Vacherin
216.9293548019245,2021,Zurich,Gruyere
528.1344336033403,2020,Neuchatel,Emmental
304.2184141457957,2022,Fribourg,Gruyere
702.8325952142593,2023,Zurich,Vacherin
493.43672698509766,2023,Valais,Emmental
849.4103764520537,2020,Valais,Emmental
730.2385918020242,2024,Neuchatel,Vacherin
381.12997724383695,2020,Valais,Emmental
849.033821255681,2023,Valais,Gruyere
824.2879217471217,2020,Valais,Gruyere
448.73054112715704,2019,Zurich,Vacherin
359.4952935372197,2024,Fribourg,Gruyere
714.245953577478,2022,Valais,Gruyere
225.77723524837882,2020,Valais,Emmental
279.9173822275975,2019,Zurich,Emmental
106.62604277590496,2019,Fribourg,Gruyere
808.2319397519245,2020,Zurich,Gruyere
698.3657709328289,2024,Zurich,Vacherin
734.6488407637016,2020,Fribourg,Gruyere
802.656127919771,2019,Zurich,Gruyere
513.0241979845059,2024,Neuchatel,Emmental
611.8670763576044,2024,Fribourg,Emmental
225.8172983148917,2020,Zurich,Emmental
203.0770661823761,2022,Fribourg,Gruyere
701.5626656114244,2022,Zurich,Emmental
523.9865855288192,2022,Valais,Gruyere
608.71249583307,2020,Valais,Emmental
788.498971674423,2023,Zurich,Vacherin
671.2464880005317,2024,Fribourg,Gruyere
598.2214605921963,2023,Neuchatel,Emmental
603.2864446708722,2024,Valais,Vacherin
373.555088256351,2019,Neuchatel,Gruyere
127.73605111114546,2022,Valais,Emmental
493.04565030912613,2024,Valais,Emmental
293.1262055375763,2022,Neuchatel,Vacherin
467.6757793521725,2024,Neuchatel,Vacherin
868.0627659413495,2021,Fribourg,Gruyere
310.5455372788067,2024,Valais,Vacherin
152.4724675201594,2024,Fribourg,Emmental
353.2455028197969,2022,Neuchatel,Vacherin
364.23438199001527,2023,Fribourg,Emmental
695.7248632542055,2022,Zurich,Gruyere
601.3289371071505,2020,Valais,Gruyere
805.5083881957721,2022,Valais,Gruyere
697.8821862946488,2024,Valais,Gruyere
465.7481752960635,2019,Zurich,Emmental
832.6183461994312,2020,Zurich,Vacherin
250.27562791693353,2021,Valais,Gruyere
120.44086582047443,2021,Neuchatel,Vacherin
181.0430746980776,2022,Neuchatel,Emmental
750.1234155368053,2021,Neuchatel,Emmental
515.6895072262487,2022,Fribourg,Gruyere
245.14460113024163,2019,Neuchatel,Emmental
550.9402975930273,2020,Fribourg,Vacherin
237.08089244185157,2023,Neuchatel,Emmental
726.6883375699624,2021,Valais,Vacherin
501.54064801662764,2023,Zurich,Emmental
442.9191034868342,2022,Neuchatel,Emmental
371.3608802330889,2020,Fribourg,Emmental
667.2543338069996,2021,Zurich,Gruyere
425.6313494980514,2024,Zurich,Emmental
178.88492738449088,2024,Fribourg,Gruyere
206.20531190846378,2019,Valais,Emmental
965.7078980945631,2023,Valais,Vacherin
917.7226216368464,2021,Zurich,Gruyere
729.7364204296746,2019,Valais,Gruyere
339.2829653135676,2022,Neuchatel,Emmental
972.2587396129514,2019,Valais,Vacherin
800.8758135692151,2020,Valais,Gruyere
745.201170243096,2023,Fribourg,Emmental
504.4253519294098,2023,Fribourg,Emmental
345.01740566064313,2021,Fribourg,Gruyere
186.75186593814936,2023,Neuchatel,Gruyere
912.3421568894576,2024,Valais,Emmental
510.19866085024995,2021,Fribourg,Vacherin
282.1270283157073,2020,Valais,Gruyere
375.36096173558724,2022,Neuchatel,Vacherin
621.2976120477064,2019,Valais,Emmental
259.09550464530855,2024,Zurich,Vacherin
870.952855683138,2021,Valais,Emmental
782.6675768516891,2023,Valais,Gruyere
747.5166603558431,2023,Valais,Emmental
488.8837357975933,2021,Valais,Vacherin
664.5779566321988,2024,Neuchatel,Emmental
625.688172021462,2023,Zurich,Vacherin
684.861941399338,2024,Zurich,Emmental
175.9998890259002,2019,Fribourg,Gruyere
474.22666195354867,2021,Valais,Gruyere
137.45275647570324,2024,Fribourg,Emmental
544.5917373200671,2023,Fribourg,Gruyere
396.8750910995068,2021,Valais,Emmental
230.0717699794422,2019,Neuchatel,Gruyere
193.06267095029648,2020,Fribourg,Emmental
628.8801149599408,2022,Fribourg,Vacherin
253.5336716831975,2022,Neuchatel,Vacherin
932.6081065391174,2024,Fribourg,Vacherin
622.9550257303555,2019,Valais,Vacherin
412.1828240813534,2021,Valais,Vacherin
631.8239423332751,2020,Valais,Vacherin
120.52348392672775,2024,Valais,Emmental
962.7032919173008,2019,Zurich,Emmental
534.0730932486102,2020,Neuchatel,Vacherin
804.4617045252576,2020,Valais,Vacherin
174.4569999301947,2019,Zurich,Gruyere
537.9924977543443,2022,Fribourg,Emmental
541.6362949190689,2022,Neuchatel,Gruyere
944.0438094774846,2022,Valais,Vacherin
614.5552471384678,2024,Valais,Emmental
526.1404609512584,2021,Valais,Emmental
340.2780967827042,2020,Neuchatel,Vacherin
398.41209760829696,2021,Valais,Vacherin
568.605162224384,2023,Fribourg,Gruyere
495.02031427454205,2022,Neuchatel,Vacherin
119.45087189229739,2020,Fribourg,Gruyere
843.662731774922,2023,Zurich,Emmental
906.5446946557901,2023,Fribourg,Emmental
226.22418009874968,2020,Neuchatel,Gruyere
598.6325291851444,2022,Fribourg,Gruyere
197.7181670218992,2022,Fribourg,Vacherin
705.0160837358305,2020,Fribourg,Vacherin
353.1104054551075,2019,Valais,Vacherin
693.4803712227116,2023,Fribourg,Gruyere
754.2951528581943,2022,Fribourg,Emmental
791.7827427258914,2023,Neuchatel,Gruyere
196.96685136030692,2021,Valais,Vacherin
924.4106606238471,2022,Zurich,Emmental
307.19259180539274,2024,Fribourg,Emmental
133.6713005585618,2020,Fribourg,Vacherin
599.367222452335,2022,Valais,Gruyere
433.8300554761949,2019,Zurich,Emmental
846.8107688191718,2019,Zurich,Gruyere
827.4263248578716,2024,Valais,Gruyere
385.4250035404438,2019,Fribourg,Gruyere
957.6094555627704,2022,Zurich,Emmental
361.82605432610677,2022,Zurich,Vacherin
563.5514163085431,2023,Valais,Vacherin
330.36858151084243,2022,Valais,Emmental
942.439213044067,2023,Neuchatel,Emmental
248.14703582381634,2024,Zurich,Emmental
140.4195574530961,2023,Valais,Gruyere
491.5873540027342,2023,Neuchatel,Vacherin
993.1380076502534,2019,Neuchatel,Vacherin
902.5095396294225,2020,Neuchatel,Emmental
773.7472175112543,2021,Fribourg,Vacherin
901.7132417906723,2022,Zurich,Gruyere
904.1019757280769,2023,Zurich,Emmental
566.9725243478042,2023,Neuchatel,Vacherin
384.3361466477137,2019,Fribourg,Emmental
794.8111888998892,2020,Valais,Vacherin
695.495136850985,2019,Neuchatel,Vacherin
436.2919559863391,2022,Fribourg,Gruyere
185.02000125536375,2022,Valais,Gruyere
772.1106502141234,2019,Fribourg,Gruyere
336.2144643305782,2024,Fribourg,Gruyere
943.1318354804013,2020,Neuchatel,Vacherin
316.8735175051163,2022,Valais,Gruyere
210.4821391703374,2023,Valais,Gruyere
848.0014049124155,2019,Fribourg,Emmental
237.95588496204465,2024,Valais,Emmental
261.3414773419652,2024,Fribourg,Gruyere
639.4445123687592,2024,Fribourg,Emmental
887.105836753718,2019,Valais,Gruyere
276.79119914311593,2021,Neuchatel,Gruyere
379.2913056100853,2020,Neuchatel,Vacherin
799.6643544170598,2021,Neuchatel,Gruyere
974.6437834548706,2024,Fribourg,Gruyere
550.6670675821081,2023,Neuchatel,Emmental
229.5077522961257,2023,Zurich,Emmental
112.54265893738139,2021,Zurich,Gruyere
306.69042699896977,2024,Fribourg,Gruyere
218.63999600786894,2024,Fribourg,Emmental
709.8928062515718,2023,Neuchatel,Emmental
209.64925416567803,2023,Fribourg,Gruyere
555.6969384585698,2022,Zurich,Emmental
724.8361920785978,2019,Neuchatel,Gruyere
623.0049482988121,2020,Fribourg,Vacherin
279.79808649405186,2023,Zurich,Emmental
823.7120735640365,2020,Zurich,Vacherin
743.8664166542216,2020,Valais,Vacherin
765.0856035239876,2024,Neuchatel,Emmental
217.95197640158193,2021,Valais,Vacherin
211.37842328531013,2024,Zurich,Emmental
934.8062959058569,2020,Valais,Emmental
457.82037444244656,2021,Valais,Gruyere
370.85382260284575,2021,Valais,Emmental
539.7256408163801,2021,Neuchatel,Emmental
696.5777914872242,2021,Valais,Emmental
960.060931342273,2020,Zurich,Vacherin
357.8016041938495,2023,Valais,Vacherin
932.3275863808244,2020,Valais,Vacherin
122.37354224763068,2021,Fribourg,Emmental
599.6782380941422,2024,Valais,Vacherin
670.5776005129766,2021,Fribourg,Gruyere
195.30766337567798,2019,Neuchatel,Emmental
226.3056373575214,2019,Valais,Gruyere
477.20288738467343,2021,Fribourg,Vacherin
969.6087209288636,2022,Neuchatel,Gruyere
636.4382979109356,2024,Neuchatel,Vacherin
939.7208994401901,2019,Fribourg,Vacherin
823.9248240516737,2022,Valais,Gruyere
520.6434413997624,2020,Fribourg,Emmental
806.2871043269687,2021,Zurich,Vacherin
116.05310557928897,2021,Zurich,Vacherin
198.22959708916144,2020,Zurich,Gruyere
846.4857533944627,2019,Zurich,Emmental
817.1353794926456,2019,Zurich,Emmental
309.3766677697903,2022,Neuchatel,Vacherin
577.6926315391481,2020,Fribourg,Vacherin
645.4142386300098,2020,Neuchatel,Vacherin
880.9650583984101,2019,Neuchatel,Emmental
642.796441604853,2019,Zurich,Gruyere
471.3144123463123,2019,Valais,Emmental
436.7656390664644,2021,Fribourg,Emmental
483.2938777361589,2019,Zurich,Emmental
686.7379230219767,2020,Fribourg,Emmental
880.7415685770924,2020,Fribourg,Emmental
508.5071938686698,2020,Zurich,Gruyere
323.05560665622227,2019,Valais,Gruyere
312.996126697823,2019,Fribourg,Gruyere
771.4128522191018,2024,Neuchatel,Vacherin
834.9118870815194,2023,Valais,Vacherin
194.75027186871245,2019,Neuchatel,Gruyere
159.90297125966035,2020,Neuchatel,Vacherin
634.9902973808066,2021,Zurich,Gruyere
231.55591977342846,2024,Zurich,Vacherin
842.1977714107072,2024,Valais,Vacherin
379.301206531667,2023,Fribourg,Emmental
229.4847396740284,2019,Neuchatel,Emmental
928.8734252387052,2021,Zurich,Vacherin
248.97855046175036,2021,Valais,Emmental
356.248074104142,2022,Fribourg,Gruyere
238.25205567285278,2024,Fribourg,Gruyere
203.9410572988195,2020,Fribourg,Emmental
119.03321470279603,2022,Fribourg,Emmental
149.8558682478341,2020,Neuchatel,Gruyere
257.1773238422674,2020,Fribourg,Gruyere
148.04373936445785,2020,Fribourg,Gruyere
632.0294344998741,2023,Neuchatel,Gruyere
712.6430741195558,2021,Fribourg,Vacherin
454.26741114882543,2023,Neuchatel,Gruyere
386.19198725684447,2023,Neuchatel,Emmental
554.0736133200071,2021,Valais,Vacherin
887.5044480111477,2024,Zurich,Emmental
866.0184641399854,2019,Zurich,Vacherin
139.12755581151276,2024,Fribourg,Emmental
263.3485686368717,2019,Fribourg,Gruyere
313.0703839939564,2021,Fribourg,Vacherin
324.4488182489906,2023,Valais,Gruyere
614.1093865684954,2023,Fribourg,Emmental
474.63618313287304,2020,Neuchatel,Vacherin
144.3287079348346,2024,Neuchatel,Gruyere
436.2527246136144,2019,Zurich,Emmental
571.3776538458735,2023,Zurich,Emmental
191.5047126133444,2022,Zurich,Gruyere
850.1126984097037,2020,Neuchatel,Emmental
146.76567981859384,2024,Neuchatel,Emmental
932.3576821162559,2023,Neuchatel,Vacherin
189.20182742188794,2019,Valais,Vacherin
859.2174564379775,2019,Zurich,Emmental
912.3878295348554,2019,Valais,Vacherin
981.6136125279335,2021,Zurich,Vacherin
821.8232922462342,2021,Zurich,Gruyere
801.529786694196,2023,Zurich,Emmental
678.2349483959929,2023,Valais,Emmental
801.096719120316,2019,Fribourg,Gruyere
221.09698757183236,2021,Neuchatel,Vacherin
582.4612323528736,2023,Zurich,Gruyere
562.8005831713731,2024,Valais,Vacherin
871.8149297103018,2020,Neuchatel,Gruyere
516.5194290341642,2019,Valais,Emmental
446.5805464903181,2019,Valais,Emmental
675.6069441133991,2021,Neuchatel,Emmental
339.81698575076143,2021,Fribourg,Emmental
225.79156985856116,2021,Fribourg,Emmental
530.0895466213713,2019,Valais,Gruyere
475.20043173539653,2021,Valais,Emmental
309.31294647598634,2020,Neuchatel,Emmental
430.7606291036152,2021,Zurich,Gruyere
429.75320484362265,2019,Valais,Gruyere
394.7460079712909,2023,Zurich,Emmental
441.51767175423606,2021,Neuchatel,Vacherin
717.1690109103508,2020,Fribourg,Gruyere
367.18882711415677,2024,Neuchatel,Vacherin
953.9721340438064,2023,Neuchatel,Emmental
924.7132175843601,2019,Valais,Vacherin
532.8193854700708,2019,Neuchatel,Vacherin
395.52508450421993,2019,Valais,Vacherin
581.8913108470028,2022,Neuchatel,Gruyere
863.7044398962621,2021,Neuchatel,Gruyere
687.3286065040918,2021,Fribourg,Vacherin
823.9526451523697,2022,Neuchatel,Gruyere
579.4500484591662,2022,Zurich,Emmental
669.6258663408587,2019,Zurich,Vacherin
359.34005276421556,2019,Fribourg,Vacherin
761.4038460792617,2023,Zurich,Vacherin
282.1641338131465,2024,Neuchatel,Emmental
725.3183159366484,2024,Neuchatel,Vacherin
874.6471614933047,2024,Neuchatel,Gruyere
218.89255357138956,2021,Neuchatel,Vacherin
652.9417664877278,2023,Fribourg,Gruyere
185.58617340694116,2024,Zurich,Vacherin
753.1440654442841,2024,Neuchatel,Vacherin
